elapsed_sec,completed,queue_depth,active_threads,live_threads,throughput,avg_wait_ms
0.260,25,7,8,8,96.14,71.682
0.511,126,0,0,16,246.59,47.835
0.786,126,0,0,16,160.31,47.835
1.060,126,0,0,16,118.81,47.835
1.336,126,0,0,16,94.33,47.835
1.588,126,984,16,16,79.33,47.835
1.839,178,932,16,16,96.79,57.725
2.089,228,882,16,16,109.13,115.488
2.340,280,830,16,16,119.67,199.872
2.592,334,776,16,16,128.87,301.175
2.842,387,723,16,16,136.16,407.767
3.095,439,671,16,16,141.86,516.171
3.346,494,616,16,16,147.66,633.607
3.597,552,558,16,16,153.48,759.339
3.850,607,503,16,16,157.67,879.999
4.102,658,452,16,16,160.42,993.588
4.352,716,394,16,16,164.51,1123.094
4.604,768,342,16,16,166.82,1239.782
4.858,820,290,16,16,168.78,1357.285
5.110,876,234,16,16,171.43,1485.190
5.364,930,180,16,16,173.38,1607.766
5.622,985,125,16,16,175.21,1733.041
5.884,1038,72,16,16,176.41,1854.336
6.159,1096,14,16,16,177.94,1987.979
